Symbol,Company_name,Price,Change_abs,Change_rel,Volume,Avg_vol_3M,Market_cap,PE_ratio_TTM,Wk_change_rel
SNEX,StoneX Group Inc.,77.5,3.58,0.0442,180708,140017,2458000000.000,9.39,0.1672
AGM,Federal Agricultural Mortgage Corporation,194.79,3.63,0.0183,35160,52120,2073000000.000,11.88,0.167
SCI,Service Corporation International,73.4,1.32,0.0177,1993000.000,1000000,10599000000.000,21.46,0.1669
GSK,GSK plc,40.42,0.78,0.0197,4537000.000,3587000.000,82435000000.000,13.94,0.1669
SHEL,Shell plc,71.68,1.26,0.0173,4216000.000,3462000.000,227032000000.000,12.71,0.1667
ZS,"Zscaler, Inc.",169.52,4.92,0.0282,2163000.000,2163000.000,25623000000.000,0,0.1664
MMC,"Marsh & McLennan Companies, Inc.",223.95,0.66,0.0029,1385000.000,1627000.000,110129000000.000,27.79,0.1661
TWO-PC,Two Harbors Investment Corp.,23.95,0.15,0.0063,24986,15771,3606000000.000,6.56,0.166
JPC,Nuveen Preferred & Income Opportunities Fund,7.69,0.03,0.0039,990874,942950,2457000000.000,256.33,0.1652
CUBE,CubeSmart,48.72,0.91,0.019,2552000.000,1248000.000,11034000000.000,27.37,0.165
MAIN,Main Street Capital Corporation,49.32,1.84,0.036,956427,374587,4227000000.000,8.98,0.1649
MAC,The Macerich Company,14.91,0.60,0.0387,1505000.000,1794000.000,3380000000.00,0,0.1648
VMC,Vulcan Materials Company,266.34,4.79,0.0177,775065,758679,35224000000.000,38.49,0.1645
NVT,nVent Electric plc,64.4,5.04,0.0726,2748000.000,1619000.000,10692000000.000,18.78,0.1643
MA,Mastercard Incorporated,462.02,0.39,0.0008,3090000.00,2562000.000,426830000000.00,35.32,0.1642
IRT,"Independence Realty Trust, Inc.",19.5,0.31,0.0162,2644000.000,2516000.000,4506000000.000,0,0.1635
BOH,Bank of Hawaii Corporation,64.62,1.16,0.0176,373830,310566,2567000000.000,18.15,0.1631
COHR,Coherent Corp.,58.93,6.55,0.10,3921000.000,2193000.000,8985000000.000,0,0.163
CM,Canadian Imperial Bank of Commerce,49.77,0.75,0.0148,1470000.00,1186000.000,46933000000.000,10.50,0.1629
WHD,"Cactus, Inc.",59.01,2.98,0.0481,1010000.00,1060000.00,3923000000.000,20.35,0.1625
AIG,"American International Group, Inc.",71.97,2.94,0.0392,7453000.000,4541000.000,46345000000.000,13.71,0.1625
PNFP,"Pinnacle Financial Partners, Inc.",88.26,3.77,0.041,370572,441638,6816000000.000,17.48,0.1621
STLD,"Steel Dynamics, Inc.",121.28,5.07,0.0401,1316000.000,1309000.000,19057000000.000,9.68,0.161
AXNX,"Axonics, Inc.",68.49,0.05,0.0007,817399,347598,3501000000.000,0,0.1603
CNA,CNA Financial Corporation,48.89,0.25,0.0051,315487,322806,13241000000.000,10.40,0.1602
ESRT,"Empire State Realty Trust, Inc.",10.3,0.26,0.0246,863369,1074000.000,2963000000.000,39.62,0.1599
GEV,GE Vernova Inc.,164.73,9.30,0.0534,3305000.000,3217000.000,45268000000.000,41.49,0.1599
CIM-PB,Chimera Investment Corporation,24.8,0.01,0.0004,33373,34819,3446000000.000,33.83,0.1589
SYK,Stryker Corporation,331.56,1.61,0.0048,1723000.000,1314000.000,126349000000.000,36.88,0.1582
SLGN,Silgan Holdings Inc.,51.26,1.43,0.0271,843023,579443,5473000000.000,17.99,0.1582
INSW,"International Seaways, Inc.",51.85,2.59,0.0476,748839,585508,2571000000.000,4.85,0.1581
EDR,"Endeavor Group Holdings, Inc.",27.3,0.13,0.0047,1442000.000,3002000.000,8257000000.000,42.00,0.1578
MO,"Altria Group, Inc.",51.07,1.05,0.021,9687000.000,9208000.000,87137000000.000,8.81,0.1575
ALE,"ALLETE, Inc.",64.65,0.60,0.0094,467455,546875,3734000000.000,16.84,0.1567
PAGS,PagSeguro Digital Ltd.,12.04,0.35,0.0282,2647000.000,2907000.000,3842000000.000,12.41,0.1566
CPRT,"Copart, Inc.",51.73,0.50,0.0096,3756000.000,4381000.000,49780000000.00,36.17,0.1562
DUOL,"Duolingo, Inc.",162.01,2.49,0.0151,712327,812132,6986000000.000,167.02,0.1561
CI,The Cigna Group,337.33,4.73,0.0142,3190000.00,1544000.000,94300000000.0,26.60,0.156
PAA,"Plains All American Pipeline, L.P.",17.42,0.58,0.0322,4557000.000,2132000.000,12213000000.000,15.69,0.1559
IX,ORIX Corporation,105.68,6.98,0.062,27713,13591,24478000000.000,10.61,0.1556
UE,Urban Edge Properties,20.06,0.14,0.0069,1115000.000,966517,2605000000.000,8.12,0.1549
UNH,UnitedHealth Group Incorporated,589.83,17.06,0.0298,5086000.000,4159000.000,542871000000.000,39.06,0.1549
APO-PA,"Apollo Global Management, Inc.",58.25,5.64,0.0883,336369,73559,0,0,0.1545
SSB,SouthState Corporation,90.88,3.63,0.0384,669811,580933,6929000000.000,14.56,0.1543
SBLK,Star Bulk Carriers Corp.,21.4,0.34,0.0156,1628000.000,1567000.000,2444000000.000,9.73,0.1543
CCEP,Coca-Cola Europacific Partners PLC,75.06,0.87,0.0117,2169000.000,1263000.000,34556000000.000,19.10,0.1541
NEE,"NextEra Energy, Inc.",79.2,0.81,0.0103,12161000.000,11448000.000,162784000000.000,25.80,0.1538
DCI,"Donaldson Company, Inc.",72.31,1.34,0.0182,570709,533233,8706000000.000,22.46,0.1536
BCC,Boise Cascade Company,128.89,4.71,0.0353,326166,328429,5088000000.000,10.48,0.1531
ING,ING Groep N.V.,17.09,0.13,0.0075,3013000.000,1864000.000,56251000000.000,7.80,0.1524
AMP,"Ameriprise Financial, Inc.",402.61,15.75,0.0376,679594,478737,39617000000.000,13.70,0.1519
PNW,Pinnacle West Capital Corporation,88.23,0.16,0.0018,1186000.000,972996,10024000000.000,16.28,0.1515
CADE,Cadence Bank,29.72,1.68,0.0535,2366000.000,1385000.000,5431000000.000,141.52,0.151
HLN,Haleon plc,9.63,0.30,0.0322,6975000.000,4873000.000,43922000000.000,32.10,0.1505
NNN,"NNN REIT, Inc.",46.57,0.59,0.0128,1749000.000,902398,8553000000.000,20.98,0.1504
CIEN,Ciena Corporation,48.12,3.17,0.0618,1933000.000,1496000.000,6915000000.000,46.27,0.1501
SWX,"Southwest Gas Holdings, Inc.",74.02,0.22,0.003,295263,337619,5305000000.000,27.62,0.1501
CMS,CMS Energy Corporation,66.12,0.26,0.004,5125000.000,2205000.000,19752000000.000,20.28,0.1491
VLO,Valero Energy Corporation,148.56,7.89,0.0504,3457000.000,2789000.000,47596000000.000,8.42,0.149
ESS,"Essex Property Trust, Inc.",281.66,4.03,0.0141,447369,354459,18724000000.000,34.86,0.148
SRE,Sempra,81.74,0.26,0.0032,2161000.000,2989000.000,51729000000.000,18.08,0.148
KT,KT Corporation,14.27,0.07,0.0049,695633,581120,7016000000.000,8.97,0.148
EMN,Eastman Chemical Company,97.49,4.21,0.0414,1028000.000,855167,11393000000.000,13.12,0.148
ORCL,Oracle Corporation,133.28,4.23,0.0308,5801000.000,8609000.000,367301000000.000,35.92,0.148
OGE,OGE Energy Corp.,39.78,0.08,0.002,979948,1167000.000,7978000000.000,20.19,0.1477
CHE,Chemed Corporation,590.72,2.28,0.0039,141937,97967,8858000000.000,29.94,0.1477
SNX,TD SYNNEX Corporation,113.48,3.68,0.0314,660908,813746,9698000000.000,15.92,0.1473
VDAHF,Vinda International Holdings Limited,2.97,0,0,30165,0,3612000000.000,99.00,0.2969
MTB,M&T Bank Corporation,162.29,4.56,0.0273,1042000.000,888240,27139000000.000,12.03,0.1465
ASX,"ASE Technology Holding Co., Ltd.",8.93,0.59,0.062,12441000.000,6587000.000,19299000000.000,18.22,0.1463
PRI,"Primerica, Inc.",247.08,5.24,0.0208,131565,173959,8502000000.000,15.06,0.1452
OSIS,"OSI Systems, Inc.",139.36,5.32,0.0368,91005,116817,2376000000.000,19.14,0.1448
MTD,Mettler-Toledo International Inc.,1441.43,73.92,0.0488,326823,157782,30586000000.000,39.69,0.1444
PHI,PLDT Inc.,26.27,0.34,0.0128,24745,30861,5676000000.000,12.16,0.1442
ALLE,Allegion plc,129.54,2.75,0.0208,1303000.000,719208,11287000000.000,20.56,0.1441
AM,Antero Midstream Corporation,13.69,0.35,0.0249,4149000.000,2525000.000,6588000000.000,17.11,0.1437
DTE,DTE Energy Company,123.24,0.14,0.0011,1035000.000,980856,25513000000.000,18.42,0.1434
PR,Permian Resources Corporation,13.82,0.99,0.0668,16494000.000,11586000.000,11904000000.000,11.71,0.1431
BDC,Belden Inc.,99.35,1.17,0.0116,625736,268969,4054000000.000,21.09,0.1429
AVIKF,Advanced Info Service Public Company Limited,5.96,0,0,46900,0,18980000000.00,20.55,0.1429
DORM,"Dorman Products, Inc.",102.84,4.26,0.0432,213261,133250,3144000000.000,18.84,0.1428
FHB,"First Hawaiian, Inc.",23.46,0.65,0.027,605406,721483,3000000000,13.48,0.1427
MGEE,"MGE Energy, Inc.",88.39,0.37,0.0042,151546,159291,3198000000.000,26.62,0.1424
HII,"Huntington Ingalls Industries, Inc.",263.35,3.65,0.0137,291637,282464,10327000000.000,13.99,0.1423
VRSK,"Verisk Analytics, Inc.",266.66,5.29,0.0202,1027000.000,768588,37979000000.000,42.87,0.1419
D,"Dominion Energy, Inc.",56.08,0.64,0.0115,4626000.000,3803000.000,47048000000.000,23.37,0.1412
TELNY,Telenor ASA,11.88,0.03,0.0025,36158,21320,16362000000.000,19.80,0.1412
MARA,"Marathon Digital Holdings, Inc.",17.19,0.95,0.0524,38100000.0,47651000.000,5062000000.000,19.10,0.1407
SSD,"Simpson Manufacturing Co., Inc.",179.02,5.68,0.0308,360151,380925,7547000000.000,22.98,0.1399
ATH-PA,Athene Holding Ltd.,24.36,0.33,0.0134,27475,42965,7638000000.000,3.06,0.1398
BAC-PE,Bank of America Corporation,23.55,0.01,0.0004,20727,16128,279725000000.000,6.70,0.1394
CAT,Caterpillar Inc.,320.87,10.65,0.0321,4034000.000,3023000.000,156922000000.000,14.49,0.1393
SNPS,"Synopsys, Inc.",505.78,34.89,0.0645,2836000.000,870801,77494000000.000,55.28,0.1391
RPM,RPM International Inc.,117.77,1.04,0.0088,957148,664237,15168000000.000,25.83,0.1391
FRME,First Merchants Corporation,37.36,1.29,0.0334,332305,255332,2186000000.000,11.97,0.1387
SGLOF,Food & Life Companies Ltd.,17.823,0,0,131901,0,2281000000.000,29.70,0.1387
IOSP,Innospec Inc.,121.44,4.01,0.032,88975,120866,3028000000.000,20.65,0.138
CRL,"Charles River Laboratories International, Inc.",233.6,9.24,0.038,567961,537716,12033000000.000,27.48,0.138
CCOI,"Cogent Communications Holdings, Inc.",66.85,2.38,0.0344,386687,542569,3277000000.000,2.66,0.1375
WDFC,WD-40 Company,255.96,0.94,0.0037,85670,96020,3468000000.000,50.29,0.137
ELV,"Elevance Health, Inc.",535.17,2.94,0.0055,788013,1079000.000,124098000000.000,18.73,0.1367
ADSK,"Autodesk, Inc.",231.37,10.41,0.0431,2811000.000,2020000.00,49862000000.000,50.30,0.1357
TSCO,Tractor Supply Company,252.77,3.49,0.0136,871772,1103000.000,27251000000.000,24.38,0.1345
BALL,Ball Corporation,64.76,0.22,0.0034,2381000.000,1977000.000,19659000000.000,29.57,0.1343
AMD,"Advanced Micro Devices, Inc.",132.5,0.04,0.0003,78333000.000,53338000.000,214449000000.000,159.64,0.1343
CBSH,"Commerce Bancshares, Inc.",61,1.82,0.029,674247,554296,7869000000.000,16.49,0.1338
KO,The Coca-Cola Company,69.33,1.37,0.0202,18522000.000,11586000.000,298803000000.000,28.18,0.133
NOC,Northrop Grumman Corporation,494.55,1.19,0.0024,1045000.000,926453,72325000000.000,32.16,0.1326
URBN,"Urban Outfitters, Inc.",41.41,2.85,0.0644,1354000.000,1514000.000,3868000000.000,13.19,0.1317
SEM,Select Medical Holdings Corporation,34.18,5.00,0.1276,2367000.000,682606,4444000000.000,16.35,0.1314
PARAA,Paramount Global,22.5,0.26,0.0114,55424,80640,7808000000.000,0,0.1307
GS-PA,"The Goldman Sachs Group, Inc.",22.95,0.03,0.0013,41261,44793,84582000000.000,0.45,0.1305
NXE,NexGen Energy Ltd.,5.55,0.29,0.0497,8706000.000,5170000.00,3115000000.000,69.38,0.1303
RRR,"Red Rock Resorts, Inc.",51.58,3.39,0.0617,692882,519877,5290000000.00,18.23,0.1294
CRM,"Salesforce, Inc.",243.97,9.09,0.0359,5497000.000,8409000.000,236407000000.000,43.88,0.1292
OMC,Omnicom Group Inc.,92,2.85,0.03,1868000.000,1604000.000,18000000000,12.72,0.1287
DANOY,Danone S.A.,13.53,0.01,0.0007,41213,232083,43543000000.000,39.79,0.1284
UNF,UniFirst Corporation,189.12,2.61,0.0136,85641,97877,3520000000.00,27.61,0.1284
MOH,"Molina Healthcare, Inc.",350.9,4.71,0.0136,877468,628500,20563000000.000,19.23,0.1283
FOXA,Fox Corporation,37.31,0.46,0.0122,2049000.000,2678000.000,16841000000.000,11.77,0.1279
TSN,"Tyson Foods, Inc.",61.23,0.47,0.0077,2656000.000,2277000.000,21799000000.000,0,0.1276
CCPPF,Shaftesbury Capital PLC,1.77,0,0,42174,0,3452000000.000,3.11,0.1274
SNPMF,China Petroleum & Chemical Corporation,0.62,0,0,82862,87553,103415000000.000,8.86,0.1273
NVG,Nuveen AMT-Free Municipal Credit Income Fund,12.88,0.07,0.0055,781952,593182,2750000000.00,29.95,0.1269
ALC,Alcon Inc.,92.38,1.44,0.0153,1207000.000,860298,45566000000.000,43.78,0.1267
ESNT,Essent Group Ltd.,59.95,1.30,0.0212,743857,506625,6395000000.000,9.07,0.1267
CPNG,"Coupang, Inc.",20.28,0.34,0.0165,6050000.00,7698000.000,36260000000.00,28.97,0.1267
BFH,"Bread Financial Holdings, Inc.",46.36,4.42,0.087,2077000.000,821019,2303000000.000,4.74,0.1258
AVY,Avery Dennison Corporation,210.38,3.67,0.0171,530345,463196,16940000000.00,27.04,0.1257
ADT,ADT Inc.,6.93,0.16,0.0226,4642000.000,5343000.000,6319000000.000,0,0.125
HCP,"HashiCorp, Inc.",33.67,0.09,0.0027,2189000.000,3479000.000,6770000000.00,0,0.1242
CIM-PC,Chimera Investment Corporation,22.2,0.05,0.0023,18209,30286,3154000000.000,30.29,0.1241
SKY,Skyline Champion Corporation,75.61,3.06,0.0389,428035,404208,4371000000.000,29.89,0.1238
ED,"Consolidated Edison, Inc.",101.83,1.62,0.0162,4416000.000,1872000.000,35248000000.000,19.77,0.1237
PRU,"Prudential Financial, Inc.",110.26,12.23,0.0998,5422000.000,1419000.000,40068000000.000,14.08,0.1236
EMR,Emerson Electric Co.,109.21,3.88,0.0343,2589000.000,2557000.000,62479000000.000,32.50,0.1233
AUB,Atlantic Union Bankshares Corporation,37.64,1.53,0.0391,838953,440691,3379000000.000,16.80,0.1232
BUD,Anheuser-Busch InBev SA/NV,63.38,2.12,0.0346,1952000.000,1478000.000,120245000000.000,21.86,0.123
AFG,"American Financial Group, Inc.",127.8,0.98,0.0076,410079,270198,10718000000.000,12.23,0.1229
INGR,Ingredion Incorporated,123.02,0.32,0.0026,328023,401614,8076000000.000,12.33,0.1224
TRNO,Terreno Realty Corporation,67.42,1.03,0.015,669030,704264,6485000000.000,35.11,0.122
FCFS,"FirstCash Holdings, Inc.",111.52,1.16,0.0103,393183,279227,4991000000.000,21.32,0.1215
VMI,"Valmont Industries, Inc.",286.43,5.76,0.0197,92390,182611,5776000000.000,34.26,0.1212
CCJ,Cameco Corporation,38.03,2.99,0.0729,9839000.000,3429000.000,16550000000.00,88.44,0.1208
HBAN,Huntington Bancshares Incorporated,13.75,0.62,0.0431,18310000.00,17535000.000,19971000000.000,12.97,0.1206
FOX,Fox Corporation,34.88,0.32,0.0091,993860,1001000.000,16841000000.000,11.00,0.1201
NZF,Nuveen Municipal Credit Income Fund,12.88,0.07,0.0055,743363,595748,2495000000.000,24.30,0.12
ASGN,ASGN Incorporated,90.59,1.52,0.0165,337409,369745,4058000000.000,21.99,0.1199
GS-PD,"The Goldman Sachs Group, Inc.",22.94,0.05,0.0022,40298,67622,81406000000.000,0.45,0.119
PB,"Prosperity Bancshares, Inc.",69.89,0.22,0.0031,1044000.000,608908,6658000000.000,15.36,0.1188
SKT,Tanger Inc.,27.98,0.76,0.0264,1359000.000,717079,3060000000.00,31.09,0.1188
AVB,"AvalonBay Communities, Inc.",210.02,3.01,0.0141,1036000.000,604151,29868000000.000,35.60,0.118
SXI,Standex International Corporation,178.08,2.43,0.0135,67364,57925,2111000000.000,28.82,0.1179
ASB,Associated Banc-Corp,21.16,0.91,0.0412,1880000.00,1262000.000,3193000000.000,18.09,0.1178
FHN,First Horizon Corporation,15.33,0.62,0.0389,6312000.000,6506000.000,8232000000.000,10.65,0.1173
ENV,"Envestnet, Inc.",61.92,0.02,0.0003,835713,918814,3419000000.000,0,0.1173
USB-PH,U.S. Bancorp,21.84,0.10,0.0046,78239,83584,89912000000.000,4.71,0.1171
ACT,"Enact Holdings, Inc.",33.03,0.46,0.0137,237152,187230,5143000000.000,7.94,0.117
HWC,Hancock Whitney Corporation,50,1.94,0.0374,779038,509516,4318000000.000,11.76,0.1166
NXRT,"NexPoint Residential Trust, Inc.",44.26,0.09,0.002,212500,142656,2273000000.000,13.02,0.1165
SAN,"Banco Santander, S.A.",4.41,0.1600,0.035,2435000.000,2137000.000,68320000000.00,5.73,0.1165
WFG,West Fraser Timber Co. Ltd.,86.52,0.14,0.0016,244405,197367,6942000000.000,51.20,0.1161
AOS,A. O. Smith Corporation,82.4,0.14,0.0017,1106000.000,926695,12018000000.000,21.29,0.1159
TMO,Thermo Fisher Scientific Inc.,615.69,6.08,0.0098,1288000.000,1588000.000,235191000000.000,38.17,0.1158
RY,Royal Bank of Canada,107.46,2.41,0.0219,628547,929330,152063000000.000,13.59,0.1153
PCAR,PACCAR Inc,94.36,1.94,0.0201,3897000.000,2936000.000,49466000000.000,10.01,0.1148
BATRK,"Atlanta Braves Holdings, Inc.",42.21,0.19,0.0045,162594,230811,2643000000.000,0,0.1146
PFGC,Performance Food Group Company,66.7,1.61,0.0236,1065000.000,1207000.000,10379000000.000,24.89,0.1143
FSV,FirstService Corporation,170.33,3.21,0.0185,89934,97400,7668000000.000,95.16,0.114
CPAY,"Corpay, Inc.",274.9,10.00,0.0351,521993,510448,19317000000.000,20.45,0.1139
BRX,Brixmor Property Group Inc.,25.37,0.18,0.007,2139000.000,2044000.000,7645000000.000,26.15,0.1137
RHP,"Ryman Hospitality Properties, Inc.",99.6,3.70,0.0358,772211,478159,5966000000.000,18.11,0.1135
BTI,British American Tobacco p.l.c.,36.45,0.55,0.0153,7791000.000,4433000.000,80621000000.000,0,0.1133
LNT,Alliant Energy Corporation,57.11,0.50,0.0088,2212000.000,1478000.000,14649000000.000,23.31,0.1126
CWEN,"Clearway Energy, Inc.",27.68,0.28,0.01,916022,836964,5440000000.00,36.42,0.1125
FUL,H.B. Fuller Company,81.22,2.85,0.0339,385145,343300,4428000000.000,27.82,0.1121
CHDN,Churchill Downs Incorporated,135.36,4.60,0.0329,362533,511558,9938000000.000,24.79,0.1118
NPO,Enpro Inc.,153.37,9.37,0.0576,118782,102861,3213000000.000,0,0.1116
MMS,"Maximus, Inc.",91.38,0.10,0.0011,357904,350558,5555000000.000,23.98,0.1114
ESE,ESCO Technologies Inc.,114.27,3.95,0.0334,84456,136893,2943000000.000,29.99,0.1114
CPWIF,China Power International Development Limited,0.4,0,0,2000,0,5741000000.000,13.33,0.1111
SMTC,Semtech Corporation,30.49,0.32,0.0104,1477000.000,1844000.000,2288000000.000,0,0.1107
GM,General Motors Company,41.17,2.20,0.0507,21593000.000,14346000.000,46272000000.000,4.63,0.11
SKM,"SK Telecom Co., Ltd.",22.27,0.09,0.0041,209641,273420,8542000000.000,10.41,0.1096
KNTK,Kinetik Holdings Inc.,40.29,1.52,0.0364,720390,481195,2406000000.000,14.92,0.1096
TXN,Texas Instruments Incorporated,187.46,5.87,0.0304,8050000.00,5345000.000,171160000000.00,32.49,0.1095
NEA,Nuveen AMT-Free Quality Municipal Income Fund,11.76,0.10,0.0086,1427000.000,904190,3516000000.000,73.50,0.1094
CCI,Crown Castle Inc.,115.21,2.92,0.026,1990000.00,2556000.000,50066000000.000,42.20,0.1094
BML-PH,Bank of America Corporation,22.52,0.12,0.0055,23078,29515,305335000000.000,6.41,0.1094
AVT,"Avnet, Inc.",50.76,1.67,0.0319,540515,613959,4588000000.000,8.19,0.109
MSBHF,Mitsubishi Corporation,18.59,1.07,0.0544,16381,23812,76863000000.000,11.84,0.1087
USAC,"USA Compression Partners, LP",22.23,0.51,0.0224,569047,419791,2601000000.000,55.57,0.1076
CPB,Campbell Soup Company,49.1,1.21,0.0253,3713000.000,2587000.000,14659000000.000,19.88,0.1074
VLYPP,Valley National Bancorp,22.91,0.14,0.0061,15422,22303,2844000000.000,20.64,0.1073
